,list_date,description.year_built,description.baths_3qtr,description.sold_date,description.baths_full,description.baths_half,description.lot_sqft,description.sqft,description.baths,description.garage,description.stories,description.beds,location.address.state,location.address.city,basement,central_air,community_outdoor_space,dishwasher,fireplace,forced_air,hardwood_floors,laundry_room,recreation_facilities,shopping,washer_dryer,apartment,condos,duplex_triplex,land,mobile,multi_family,single_family,townhomes,interest_rate
4665,1701411531.0,1991.0,0.0,1704931200.0,3.0,0.0,7200.0,1572.0,3.0,2.0,2.0,3.0,336884.1216216216,336884.1216216216,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5.33
3798,1692398824.0,2003.0,0.0,1704758400.0,1.0,0.0,39640.0,1008.0,1.0,0.0,1.0,3.0,175455.03875968992,175455.03875968992,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5.33
4541,1694092463.0,2008.0,0.0,1704931200.0,2.0,2.0,2614.0,2496.0,4.0,1.0,3.0,3.0,424447.63440860214,424447.63440860214,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,5.33
646,1692382103.0,2000.0,0.0,1703203200.0,3.0,0.0,1065.0,1418.0,3.0,2.0,1.0,2.0,447795.6153846154,457283.7916666667,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.33
1755,1701351698.0,1983.0,0.0,1705017600.0,1.0,0.0,1133.0,1111.0,1.0,0.0,1.0,1.0,365049.173553719,531857.1428571428,0,1,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,5.33
4444,1698675926.0,1996.0,0.0,1705017600.0,2.0,1.0,14375.0,1952.0,3.0,2.0,2.0,4.0,424447.63440860214,424447.63440860214,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,5.33
7921,1701384537.0,1961.0,0.0,1704844800.0,2.0,0.0,15682.0,1730.0,2.0,2.0,1.0,3.0,434089.0,435382.5581395349,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,5.33
2936,1697820879.0,2000.000015258789,0.0,1702252800.0,3.0,0.0,9000.0,1553.0,3.0,0.0,1.0,3.0,240292.77777777778,240292.77777777778,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,5.33
7887,1698785660.0,2021.0,0.0,1704672000.0,2.0,1.0,5227.0,1607.0,3.0,2.0,2.0,3.0,434089.0,464000.0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,5.33
6476,1700197663.0,1947.0,0.0,1704412800.0,1.0,1.0,11326.0,2264.0,2.0,2.0,2.0,3.0,458996.5652173913,458996.5652173913,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,5.33
1705,1699985022.0,1991.0,0.0,1704758400.0,2.0,0.0,6970.0,1248.0,2.0,2.0,1.0,3.0,313479.05511811026,313479.05511811026,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.33
1616,1701569783.0,2020.0,0.0,1704844800.0,2.0,1.0,23087.0,2670.0,3.0,3.0,1.0,4.0,313479.05511811026,313479.05511811026,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,5.33
5600,1697814248.0,1905.0,0.0,1703808000.0,2.0,0.0,4792.0,2226.0,2.0,2.0,2.0,5.0,260635.74626865672,250075.95041322315,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,5.33
1279,1693616531.0,1913.0,0.0,1703116800.0,3.0,0.0,8712.0,2498.0,3.0,0.0,2.0,7.0,343289.04761904763,343289.04761904763,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5.33
1656,1700321183.0,1967.0,0.0,1704844800.0,1.0,0.0,871.0,710.0,1.0,0.0,2.0,1.0,313479.05511811026,313479.05511811026,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,5.33
7960,1695234542.0,1973.0,0.0,1703721600.0,2.0,0.0,3049.0,2006.0,2.0,0.0,2.0,4.0,51394.02985074627,47327.27272727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.33
3727,1699625554.0,1954.0,0.0,1704412800.0,2.0,0.0,13504.0,1465.0,2.0,0.0,1.0,3.0,175455.03875968992,175455.03875968992,0,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,5.33
6680,1697225491.0,2001.0,0.0,1695945600.0,2.0,0.0,29185.0,1670.0,2.0,2.0,2.0,4.0,258471.52112676058,256690.16393442624,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5.33
1589,1701375498.0,1988.0,0.0,1705017600.0,2.0,0.0,23958.0,2584.0,2.0,2.0,1.0,4.0,313479.05511811026,313479.05511811026,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,5.33
670,1702054112.0,1952.0,0.0,1705017600.0,1.0,0.0,4792.0,1018.0,1.0,1.0,1.0,3.0,494053.8461538461,504408.4905660377,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.33
5249,1686410174.0,1977.0,0.0,1704412800.0,2.0,0.0,6970.0,1847.0,2.0,2.0,1.0,4.0,466018.73214285716,466018.73214285716,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,5.08
171,1704856284.0,1958.0,0.0,1704758400.0,1.0,0.0,11326.0,961.0,1.0,0.0,1.0,3.0,172763.26515151514,172763.26515151514,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5.33
3860,1697811142.0,1917.0,1.0,1704758400.0,0.0,0.0,4792.0,1040.0,1.0,1.0,1.0,2.0,351393.78571428574,338264.57364341087,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,5.33
7468,1702652638.0,1958.0,0.0,1705017600.0,2.0,0.0,19741.0,1503.0,2.0,0.0,1.0,3.0,381542.78571428574,412295.0722891566,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,5.33
5572,1698857527.0,1985.0,0.0,1703635200.0,2.0,1.0,10454.0,1920.0,3.0,1.0,2.0,4.0,260635.74626865672,250075.95041322315,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,5.33
703,1700627448.0,1947.0,0.0,1705363200.0,2.0,0.0,5227.0,1166.0,2.0,1.0,1.0,3.0,494053.8461538461,504408.4905660377,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,5.33
6195,1694127663.0,2001.0,0.0,1703808000.0,3.0,0.0,7840.0,1691.8493975903611,3.0,3.0,2.0,4.0,431431.53153153154,431431.53153153154,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5.33
6135,1696382394.0,1952.0,0.0,1704412800.0,2.0,0.0,14375.0,1793.0,2.0,2.0,1.0,4.0,431431.53153153154,431431.53153153154,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5.33
7673,1694565078.0,1978.0,0.0,1704844800.0,2.0,1.0,19040.0,2506.0,3.0,3.0,2.0,3.0,449961.6666666667,449909.4017094017,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,5.33
1990,1701369264.0,1922.0,0.0,1704672000.0,1.0,1.0,6621.0,1078.0,2.0,1.0,2.0,2.0,228275.70247933886,228275.70247933886,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,5.33
3763,1703018737.0,1981.0,0.0,1704672000.0,2.0,0.0,4792.0,1644.0,2.0,0.0,2.0,3.0,175455.03875968992,175455.03875968992,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5.33
2131,1697219401.0,1961.0,0.0,1704412800.0,1.0,0.0,13068.0,875.0,1.0,0.0,2.0,3.0,228275.70247933886,228275.70247933886,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5.33
5614,1686322645.0,1900.0,0.0,1703548800.0,3.0,0.0,2614.0,2624.0,3.0,0.0,2.0,10.0,260635.74626865672,250075.95041322315,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.08
1958,1692218510.0,1975.0,0.0,1704412800.0,1.0,1.0,14375.0,1034.0,2.0,2.0,2.0,3.0,228275.70247933886,228275.70247933886,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5.33
2661,1695834332.0,1950.0,0.0,1701734400.0,1.0,0.0,12197.0,1822.0,1.0,1.0,1.0,3.0,238092.4406779661,240520.9391304348,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5.33
3508,1701321172.0,1983.0,0.0,1704672000.0,2.0,0.0,5850.0,1272.0,2.0,1.0,3.0,3.0,546702.2359550562,546702.2359550562,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,5.33
2807,1699542179.0,2004.0,0.0,1702944000.0,2.0,1.0,11238.0,2132.0,3.0,2.0,2.0,3.0,240292.77777777778,240292.77777777778,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,5.33
2037,1702045960.0,1953.0,0.0,1704412800.0,1.0,1.0,7405.0,978.0,2.0,1.0,2.0,2.0,228275.70247933886,228275.70247933886,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,5.33
