,list_date,description.year_built,description.baths_3qtr,description.sold_date,description.sold_price,description.baths_full,description.baths_half,description.lot_sqft,description.sqft,description.baths,description.sub_type,description.garage,description.stories,description.beds,location.address.postal_code,location.address.state,location.address.city,location.address.state_code,location.county.name,basement,central_air,community_outdoor_space,dishwasher,fireplace,forced_air,hardwood_floors,laundry_room,recreation_facilities,shopping,washer_dryer,apartment,condos,duplex_triplex,land,mobile,multi_family,single_family,townhomes
69,2023-09-25T20:39:05.000000Z,1968.0,0.0,2024-01-02,68250.0,2.0,0.0,18731.0,2556.0,2.0,,0.0,1.0,3.0,36116,Alabama,Montgomery,AL,Montgomery,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
70,2023-07-19T21:50:53.000000Z,1987.0,0.0,2024-01-02,385000.0,3.0,1.0,29621.0,3288.0,4.0,,2.0,2.0,4.0,36117,Alabama,Montgomery,AL,Montgomery,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0
71,2023-12-04T17:20:32.000000Z,1978.0,0.0,2024-01-01,139900.0,2.0,0.0,26136.0,1500.0,2.0,,0.0,1.0,4.0,36109,Alabama,Montgomery,AL,Montgomery,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
72,2023-11-10T14:20:36.000000Z,1945.0,0.0,2024-01-16,88500.0,2.0,0.0,6534.0,1389.0,2.0,,1.0,2.0,4.0,36107,Alabama,Montgomery,AL,Montgomery,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
73,2023-12-19T18:08:22.000000Z,1969.0,0.0,2024-01-16,145000.0,2.0,0.0,17424.0,2058.0,2.0,,0.0,1.0,3.0,36109,Alabama,Montgomery,AL,Montgomery,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
74,2023-07-05T16:47:40.000000Z,1955.0,0.0,2024-01-16,65000.0,2.0,0.0,9712.0,1432.0,2.0,,0.0,1.0,3.0,36107,Alabama,Montgomery,AL,Montgomery,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
75,2023-10-29T17:55:28.000000Z,1984.0,0.0,2024-01-12,169000.0,2.0,0.0,10890.0,1804.0,2.0,,0.0,1.0,3.0,36106,Alabama,Montgomery,AL,Montgomery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
76,2023-12-08T14:11:39.000000Z,1999.0,0.0,2024-01-12,180000.0,2.0,0.0,12632.0,1476.0,2.0,,0.0,1.0,3.0,36117,Alabama,Montgomery,AL,Montgomery,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
77,2023-11-27T22:50:49.000000Z,2001.0,0.0,2024-01-12,260000.0,2.0,0.0,12632.0,1888.0,2.0,,0.0,1.0,4.0,36117,Alabama,Montgomery,AL,Montgomery,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0
78,2023-02-24T15:00:22.000000Z,1962.0,0.0,2024-01-12,60000.0,2.0,0.0,13068.0,1722.0,2.0,,0.0,1.0,3.0,36116,Alabama,Montgomery,AL,Montgomery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
79,2023-11-30T13:50:41.000000Z,1965.0,0.0,2024-01-12,159000.0,2.0,0.0,11326.0,1635.0,2.0,,2.0,1.0,3.0,36109,Alabama,Montgomery,AL,Montgomery,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
