,location.address.city,description.baths,fireplace,description.sqft,condos,townhomes,location.address.state,description.baths_full,single_family,description.garage
646,0.9968715801598544,0.902282484275474,1,-0.4822955215180083,0,1,0.9656577721053382,1.5553035557973776,0,0.9069426214183978
1755,1.6099068582596454,-1.3627576831470956,1,-0.868225779644312,1,0,0.2508015477108791,-1.055492413109094,0,-1.0230312769599528
4444,0.7269397281634156,0.902282484275474,1,0.1889968492945198,0,0,0.7639518236869677,0.2499055713441416,1,0.9069426214183978
7921,0.8168310084046672,-0.2302375994358108,0,-0.0900797543016997,0,0,0.8472447128091181,0.2499055713441416,0,0.9069426214183978
2936,-0.7869177282321108,0.902282484275474,0,-0.3125867760878748,0,0,-0.8269836002681431,1.5553035557973776,1,-1.0230312769599528
7887,1.052082625093114,0.902282484275474,0,-0.2447032779158214,0,0,0.8472447128091181,0.2499055713441416,1,0.9069426214183978
6476,1.0109515509970042,-0.2302375994358108,1,0.5812126165108283,0,0,1.0624240925648143,-1.055492413109094,1,0.9069426214183978
1705,-0.1852849845483456,-0.2302375994358108,1,-0.6960028305781765,0,0,-0.1947187591537164,0.2499055713441416,1,0.9069426214183978
1616,-0.1852849845483456,0.902282484275474,1,1.09159595461923,0,0,-0.1947187591537164,0.2499055713441416,1,1.871929570607573
5600,-0.7064944957834334,-0.2302375994358108,1,0.5334427474267908,0,0,-0.6512383074604555,0.2499055713441416,0,0.9069426214183978
1279,0.0597700753521767,0.902282484275474,0,0.8753744419230598,0,0,0.0628132653893669,1.5553035557973776,0,-1.0230312769599528
1656,-0.1852849845483456,-1.3627576831470956,0,-1.3723236086627086,1,0,-0.1947187591537164,-1.055492413109094,0,-1.0230312769599528
7960,-2.373203715972602,-0.2302375994358108,0,0.2568803474665732,0,0,-2.4589020580058394,0.2499055713441416,1,-1.0230312769599528
3727,-1.3199207478870918,-0.2302375994358108,0,-0.4232117360719619,0,0,-1.3871244388006982,0.2499055713441416,1,-1.0230312769599528
6680,-0.6521219061028993,-0.2302375994358108,0,-0.1655058633817591,0,0,-0.6699353025147827,0.2499055713441416,1,0.9069426214183978
1589,-0.1852849845483456,-0.2302375994358108,1,0.9834851982711448,0,0,-0.1947187591537164,0.2499055713441416,1,0.9069426214183978
670,1.3842633552908383,-1.3627576831470956,1,-0.985136248718404,0,0,1.3652880578696351,-1.055492413109094,1,-0.0580443277707774
5249,1.0686777492339676,-0.2302375994358108,1,0.0570011584044159,0,0,1.1230894169501808,0.2499055713441416,1,0.9069426214183978
